Plot ID,Sowing date,Harvest date,Width,Length,Row,Column,Replicate,Rack,Accession,Ant_date_ymd 2019-08-27,BM_Calc_tha 2019-08-27,BM_M_gPlot 2019-08-27,GFP_calc_day 2019-08-27,GMoi_E_pct 2019-08-27,GYPR_Calc_gm2day 2019-08-27,GY_Calc_tha 2019-08-27,GY_M_gPlot 2019-08-27,HI_Calc_pct 2019-08-27,Mat_date_ymd 2019-08-27,PH_M_cm 2019-08-27,SN_Calc_Spksm2 2019-08-27,SpkGW_M_g 2019-08-27,StrawYld_E_tha 2019-08-27
193,2018-10-08,2019-08-27,1.5,4.0,5,13,1,1,PW141-36-10-1-Q7A-DTMA-W,2019-06-05T00:00:00,,70.8,55.0,15.9144893111639,14.8835363687176,8.18594500279467,,,2019-07-30T00:00:00,109.75,,,
194,2018-10-08,2019-08-27,1.5,4.0,5,14,1,1,PW292-67-1-3-Q3B-MATU-W,2019-06-05T00:00:00,,70.5,55.0,15.5688622754491,15.1723393806102,8.3447866593356,,,2019-07-30T00:00:00,113.5,,,
195,2018-10-08,2019-08-27,1.5,4.0,5,15,1,1,DFW SEL 0079,2019-06-03T00:00:00,,68.7,57.0,16.4233576642336,11.6057625807964,6.61528467105394,,,2019-07-30T00:00:00,76.75,,,
226,2018-10-08,2019-08-27,1.5,4.0,6,1,1,1,P-Gw2A-P1-BC6-33 (- -),2019-06-07T00:00:00,,75.7,53.0,10.5200945626477,15.3527142485444,8.13693855172852,,,2019-07-30T00:00:00,105.0,,,
227,2018-10-08,2019-08-27,1.5,4.0,6,2,1,1,PW468-12-4-2-Q1A-LODG-P,2019-06-07T00:00:00,,75.3,53.0,10.887573964497,16.6068246085627,8.80161704253821,,,2019-07-30T00:00:00,111.25,,,
228,2018-10-08,2019-08-27,1.5,4.0,6,3,1,1,PW468-84-1-1-Q2B-MATU-W,2019-06-05T00:00:00,,76.2,50.0,10.2473498233216,15.4378209299072,7.71891046495359,,,2019-07-25T00:00:00,119.25,,,
229,2018-10-08,2019-08-27,1.5,4.0,6,4,1,1,PxW141-7-16-06-01,2019-06-07T00:00:00,,75.2,48.0,10.4761904761905,18.1619315267578,8.71772713284376,,,2019-07-25T00:00:00,106.25,,,
230,2018-10-08,2019-08-27,1.5,4.0,6,5,1,1,PW292-25-6-1-Q2A-MATU-P,2019-06-07T00:00:00,,75.5,53.0,10.0119189511323,16.7967458020812,8.90227527510302,,,2019-07-30T00:00:00,108.0,,,
231,2018-10-08,2019-08-27,1.5,4.0,6,6,1,1,PW034-66-6-14-Q7A-LODG-P,2019-06-05T00:00:00,,76.6,55.0,9.56316410861867,15.4489147747279,8.49690312610032,,,2019-07-30T00:00:00,111.25,,,
232,2018-10-08,2019-08-27,1.5,4.0,6,7,1,1,PW141-36-3-19-Q7A-DTMA-P,2019-06-07T00:00:00,,76.6,53.0,9.66981132075472,14.8500327823968,7.87051737467032,,,2019-07-30T00:00:00,108.0,,,
233,2018-10-08,2019-08-27,1.5,4.0,6,8,1,1,Paragon,2019-06-05T00:00:00,,76.7,50.0,9.65842167255595,15.6197308144527,7.80986540722634,,,2019-07-25T00:00:00,104.25,,,
234,2018-10-08,2019-08-27,1.5,4.0,6,9,1,1,PW141-36-3-14-Q7A-DTMA-W,2019-06-03T00:00:00,,76.8,57.0,9.54063604240284,12.1908412939458,6.94877953754911,,,2019-07-30T00:00:00,97.5,,,
235,2018-10-08,2019-08-27,1.5,4.0,6,10,1,1,PxW141-7-16-64-03,2019-06-03T00:00:00,,76.9,52.0,9.42285041224971,15.6455575220527,8.13568991146739,,,2019-07-25T00:00:00,104.25,,,
236,2018-10-08,2019-08-27,1.5,4.0,6,11,1,1,DHF1-123UT,2019-06-07T00:00:00,,71.2,53.0,16.1366313309776,14.5053195383704,7.68781935533629,,,2019-07-30T00:00:00,115.0,,,
237,2018-10-08,2019-08-27,1.5,4.0,6,12,1,1,DHF1-122UT,2019-06-07T00:00:00,,68.7,45.0,17.5270108043217,17.755560052975,7.99000202383877,,,2019-07-22T00:00:00,113.75,,,
238,2018-10-08,2019-08-27,1.5,4.0,6,13,1,1,PW352-26-2-2-Q5D-MATU-W,2019-06-07T00:00:00,,69.4,48.0,17.0848267622461,15.8442700557661,7.6052496267677,,,2019-07-25T00:00:00,112.0,,,
239,2018-10-08,2019-08-27,1.5,4.0,6,14,1,1,PW468-77-3-19-Q7B-AGDM-W,2019-06-07T00:00:00,17.092997071061,69.2,53.0,15.9173754556501,15.2302268363985,8.0720202232912,191.9,47.2241362338813,2019-07-30T00:00:00,112.25,420.636801630599,1.919,9.02097684776983
240,2018-10-08,2019-08-27,1.5,4.0,6,15,1,1,PxW141-7-16-26-18,2019-06-07T00:00:00,,72.4,53.0,14.8235294117647,15.2723045755785,8.09432142505659,,,2019-07-30T00:00:00,106.5,,,
271,2018-10-08,2019-08-27,1.5,4.0,7,1,1,1,PxW141-7-10-93-19,2019-06-07T00:00:00,,75.1,53.0,10.8076009501188,16.4914396729513,8.74046302666421,,,2019-07-30T00:00:00,105.0,,,
272,2018-10-08,2019-08-27,1.5,4.0,7,2,1,1,PW141-21-3-10-Q2A-GFP-P,2019-06-05T00:00:00,,75.1,50.0,10.4886769964243,16.0940084347996,8.04700421739982,,,2019-07-25T00:00:00,101.75,,,
273,2018-10-08,2019-08-27,1.5,4.0,7,3,1,1,PxW141-7-12-06-02,2019-06-05T00:00:00,,74.0,55.0,10.6280193236715,14.8512189008032,8.16817039544176,,,2019-07-30T00:00:00,105.0,,,
274,2018-10-08,2019-08-27,1.5,4.0,7,4,1,1,PW468-84-1-15-Q2B-MATU-P,2019-06-11T00:00:00,,76.5,49.0,9.36018957345972,16.2314200507148,7.95339582485024,,,2019-07-30T00:00:00,125.75,,,
275,2018-10-08,2019-08-27,1.5,4.0,7,5,1,1,PW292-93-7-8-Q1B-MATU-P,2019-06-07T00:00:00,,76.3,48.0,9.81087470449172,16.3910295619564,7.86769418973906,,,2019-07-25T00:00:00,104.25,,,
276,2018-10-08,2019-08-27,1.5,4.0,7,6,1,1,PW352-23-3-8-Q4B-MATU-W,2019-06-04T00:00:00,,75.0,56.0,9.85576923076923,12.534289964538,7.01920238014127,,,2019-07-30T00:00:00,98.0,,,
277,2018-10-08,2019-08-27,1.5,4.0,7,7,1,1,DHF1-17UT,2019-06-03T00:00:00,,75.8,57.0,9.97624703087887,11.5974430756102,6.61054255309782,,,2019-07-30T00:00:00,105.75,,,
278,2018-10-08,2019-08-27,1.5,4.0,7,8,1,1,DHF1-202UT,2019-06-07T00:00:00,,76.4,48.0,9.47867298578199,14.5607794549874,6.98917413839397,,,2019-07-25T00:00:00,104.25,,,
279,2018-10-08,2019-08-27,1.5,4.0,7,9,1,1,PW468-21-2-11-Q2D-DTAD-W,2019-06-07T00:00:00,,75.7,53.0,9.66587112171837,12.6342612005433,6.69615843628794,,,2019-07-30T00:00:00,115.5,,,
280,2018-10-08,2019-08-27,1.5,4.0,7,10,1,1,Crusoe,2019-06-07T00:00:00,,77.0,48.0,8.87573964497041,20.0086949876871,9.60417359408979,,,2019-07-25T00:00:00,72.5,,,
281,2018-10-08,2019-08-27,1.5,4.0,7,11,1,1,PW352-23-3-16-Q4B-MATU-P,2019-06-03T00:00:00,,70.0,49.0,16.0671462829736,17.1971467211626,8.42660189336967,,,2019-07-22T00:00:00,105.25,,,
282,2018-10-08,2019-08-27,1.5,4.0,7,12,1,1,PxW141-7-16-52-04,2019-06-07T00:00:00,,69.2,45.0,16.3240628778718,19.3297035908976,8.69836661590394,,,2019-07-22T00:00:00,107.75,,,
283,2018-10-08,2019-08-27,1.5,4.0,7,13,1,1,P-Gw2A-P1-BC6-22 (++),2019-06-07T00:00:00,,71.5,53.0,15.5844155844156,15.0271955342397,7.96441363314703,,,2019-07-30T00:00:00,129.75,,,
284,2018-10-08,2019-08-27,1.5,4.0,7,14,1,1,PW292-22-9-8-Q3A-COMSTR-W,2019-06-07T00:00:00,17.2807399514593,70.2,48.0,15.7262905162065,16.8295839150541,8.07820027922595,185.8,46.7468424495547,2019-07-25T00:00:00,109.5,434.779347644023,1.858,9.2025396722334
